p,d,t,X,success
0.08,0,3120748,490.8513755,1
0.08,0,1744162,274.3331193,1
0.08,0,2433930,382.8242448,1
0.08,0,4593688,722.5248055,1
0.08,0,2217572,348.7940739,1
0.08,0,2421924,380.9358643,1
0.08,0,1526659,240.1228554,1
0.08,0,7019284,1104.038068,1
0.08,0,606297,95.36242975,1
0.08,0,19424,3.05528832,1
0.09,0,17796,5.674833286,1
0.09,0,179012,57.08090864,1
0.09,0,905510,288.7354028,1
0.09,0,1835885,585.399055,1
0.09,0,57494,18.33312018,1
0.09,0,244316,77.90404248,1
0.09,0,857823,273.5297066,1
0.09,0,3940056,1256.344699,1
0.09,0,793558,253.0378731,1
0.09,0,42840,13.66047833,1
0.1,0,305842,183.5058,1
0.1,0,62477,37.4868,1
0.1,0,517232,310.3398,1
0.1,0,49088,29.4534,1
0.1,0,23805,14.2836,1
0.1,0,304273,182.5644,1
0.1,0,756522,453.9138,1
0.1,0,349473,209.6844,1
0.1,0,264385,158.6316,1
0.1,0,10055,6.0336,1
0.11,0,317645,337.6375592,1
0.11,0,242880,258.1671043,1
0.11,0,201003,213.6545083,1
0.11,0,89732,95.38048993,1
0.11,0,84693,90.0243524,1
0.11,0,129954,138.1339259,1
0.11,0,128312,136.388584,1
0.11,0,415997,442.1794997,1
0.11,0,507008,538.9184226,1
0.11,0,138740,147.4728868,1
0.12,0,283284,507.5306865,1
0.12,0,61608,110.378093,1
0.12,0,234611,420.3286069,1
0.12,0,28938,51.84683459,1
0.12,0,181708,325.5481,1
0.12,0,42955,76.95955722,1
0.12,0,166314,297.9683574,1
0.12,0,246157,441.0143097,1
0.12,0,410633,735.6879323,1
0.12,0,93075,166.7540681,1
0.13,0,26522,76.81287306,1
0.13,0,166074,480.9673828,1
0.13,0,75745,219.3668847,1
0.13,0,131844,381.8343796,1
0.13,0,68360,197.979294,1
0.13,0,86132,249.4485238,1
0.13,0,233457,676.1143053,1
0.13,0,30462,88.22344954,1
0.13,0,185661,537.6930075,1
0.13,0,85603,247.9164946,1
0.14,0,35298,159.4710548,1
0.14,0,30212,136.4939227,1
0.14,0,93420,422.0500696,1
0.14,0,102248,461.9325159,1
0.14,0,15914,71.89953926,1
0.14,0,32609,147.3229014,1
0.14,0,34736,156.9320952,1
0.14,0,109129,493.0189582,1
0.14,0,12624,57.0362352,1
0.14,0,7622,34.43859176,1
0.15,0,28817,196.9530188,1
0.15,0,53437,365.2153313,1
0.15,0,26635,182.0404125,1
0.15,0,23112,157.9629094,1
0.15,0,19454,132.9627656,1
0.15,0,7741,52.91173125,1
0.15,0,18257,124.7820188,1
0.15,0,16160,110.4503344,1
0.15,0,37599,256.9725,1
0.15,0,6356,43.44612188,1
0.08,6,4159296,690.2008517,1
0.08,6,2456903,422.4375853,1
0.08,6,440293,105.2522582,1
0.08,6,3418381,573.6649986,1
0.08,6,1108927,210.419293,1
0.08,6,1299527,240.3980808,1
0.08,6,2729426,465.3017469,1
0.08,6,702103,146.4314106,1
0.08,6,830590,166.6406683,1
0.08,6,7722341,1250.619373,1
0.09,6,1779916,603.5525222,1
0.09,6,13921,40.43923296,1
0.09,6,1636537,557.8340348,1
0.09,6,1304109,451.8345135,1
0.09,6,314931,136.4206662,1
0.09,6,982861,349.3998985,1
0.09,6,3109337,1027.457818,1
0.09,6,57377,54.29581302,1
0.09,6,968745,344.8988058,1
0.09,6,1102256,387.4707374,1
0.1,6,557768,370.6614,1
0.1,6,14494,44.697,1
0.1,6,25995,51.5976,1
0.1,6,13346,44.0082,1
0.1,6,1819291,1127.5752,1
0.1,6,411118,282.6714,1
0.1,6,474256,320.5542,1
0.1,6,374588,260.7534,1
0.1,6,413576,284.1462,1
0.1,6,31681,55.0092,1
0.11,6,76360,117.1669017,1
0.11,6,19730,56.97280205,1
0.11,6,295025,349.5939334,1
0.11,6,644180,720.7235619,1
0.11,6,16294,53.3205519,1
0.11,6,615397,690.1290578,1
0.11,6,274299,327.5635094,1
